랭킹,제목,가수명,좋아요,좋아요 차이
1,초록빛,폴킴,12611,7955
2,넘쳐흘러,엠씨더맥스,76848,72192
3,벌써 12시,청하,71111,66455
4,띵 (Prod. By 기리보이),Jvcki Wai,44876,40220
5,180도,벤,117741,113085
6,신용재,하은 (라코스테남),80208,75552
7,SOLO,제니 (JENNIE),159013,154357
8,Love Shot,EXO,120403,115747
9,MILLIONS,WINNER,99939,95283
10,아낙네,MINO (송민호),140788,136132
11,너를 만나,폴킴,158960,154304
12,Tempo,EXO,167561,162905
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233930,229274
14,YES or YES,TWICE (트와이스),115241,110585
15,해야 (Sunrise),여자친구 (GFRIEND),25713,21057
16,내 생에 아름다운,케이윌,90104,85448
17,너도 그냥 날 놓아주면 돼,윤건,39283,34627
18,IDOL,방탄소년단,213691,209035
19,아름답고도 아프구나,비투비,120631,115975
20,%%(응응),Apink (에이핑크),24104,19448
21,첫눈에,헤이즈 (Heize),49925,45269
22,가을 타나 봐,바이브,112449,107793
23,흔한 이별,허각,37023,32367
24,삐삐,아이유,203849,199193
25,고백,양다일,97928,93272
26,봄바람,Wanna One (워너원),125246,120590
27,트라우마 (Trauma),EXO,66742,62086
28,이별하러 가는 길,임한별,70665,66009
29,Wait,EXO,67587,62931
30,Way Back Home,숀 (SHAUN),249575,244919
31,FAKE LOVE,방탄소년단,268873,264217
32,"thank u, next",Ariana Grande,82041,77385
33,Gravity,EXO,95801,91145
34,닿은 순간 (Ooh La La La),EXO,93176,88520
35,사계 (하루살이),엠씨더맥스,20799,16143
36,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136065,131409
37,열애중,벤,148429,143773
38,24/7,EXO,91819,87163
39,눈,폴킴,4656,0
40,Sign,EXO,90031,85375
41,여기 있을게 (Smile On My Face),EXO,87048,82392
42,봄날,방탄소년단,377676,373020
43,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,22073,17417
44,Damage,EXO,83595,78939
45,가끔 (With You),EXO,84787,80131
46,너 없인 안 된다,비투비,150293,145637
47,후폭풍 (Bad Dream),EXO,83509,78853
48,오아시스 (Oasis),EXO,86568,81912
49,I`m Fine,방탄소년단,157358,152702
50,그리워하다,비투비,218965,214309
계,,,5577307,5344507
랭킹,제목,가수명,좋아요,좋아요 차이
51,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,120379,115037
52,DNA,방탄소년단,334898,329556
53,이 마음,펀치 (Punch),5342,0
54,습관 (Bad Habits),숀 (SHAUN),17708,12366
55,지나오다,닐로 (Nilo),192154,186812
56,Universe,EXO,185749,180407
57,We all lie,하진,37312,31970
58,Euphoria,방탄소년단,151014,145672
59,알았다면,장덕철,20864,15522
60,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79211,73869
61,Answer : Love Myself,방탄소년단,130895,125553
62,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202892,197550
63,에너제틱 (Energetic),Wanna One (워너원),286658,281316
64,너는 어땠을까,노을,37553,32211
65,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191644,186302
66,Bohemian Rhapsody (2011 Remaster),Queen,88567,83225
67,그 남자를 떠나,god,14163,8821
68,Beautiful,Wanna One (워너원),235159,229817
69,Epiphany,방탄소년단,119750,114408
70,Dance The Night Away,TWICE (트와이스),138682,133340
71,사이렌 (Siren),선미,110101,104759
72,헤어지는 중,펀치 (Punch),98217,92875
73,우리 그만하자,로이킴,121726,116384
74,밤편지,아이유,304043,298701
75,그때가 좋았어,케이시 (Kassy),15921,10579
76,미안해,양다일,142271,136929
77,비,폴킴,183344,178002
78,BOOMERANG (부메랑),Wanna One (워너원),144112,138770
79,이별길 (GOODBYE ROAD),iKON,84377,79035
80,켜줘 (Light),Wanna One (워너원),133388,128046
81,YA,이민혁 (HUTA),16452,11110
82,Anpanman,방탄소년단,149104,143762
83,행복,오반,43414,38072
84,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9029,3687
85,사랑을 했다 (LOVE SCENARIO),iKON,279063,273721
86,flex (Prod. By 기리보이),기리보이,106963,101621
87,Wind flower,마마무(Mamamoo),49090,43748
88,Trivia 轉 : Seesaw,방탄소년단,114184,108842
89,시간이 들겠지 (Feat. Colde),로꼬,96577,91235
90,가을 안부,먼데이 키즈 (Monday Kiz),126186,120844
91,불꽃놀이 (Flowerbomb),Wanna One (워너원),72429,67087
92,All Night (전화해),아스트로 (ASTRO),12282,6940
93,동화 (feat. 아이유),김동률,55034,49692
94,IndiGO,저스디스 (JUSTHIS),89630,84288
95,술래,Wanna One (워너원),69579,64237
96,그때 헤어지면 돼,로이킴,191613,186271
97,집,Wanna One (워너원),71860,66518
98,I`M OK,iKON,23809,18467
99,묻고싶다 (One Love),Wanna One (워너원),66982,61640
100,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74608,69266
계,,,5645982,5378882
