랭킹,제목,가수명,좋아요,좋아요 차이
1,넘쳐흘러,엠씨더맥스,75462,71690
2,벌써 12시,청하,69546,65774
3,띵 (Prod. By 기리보이),Jvcki Wai,42788,39016
4,180도,벤,117186,113414
5,신용재,하은 (라코스테남),79584,75812
6,SOLO,제니 (JENNIE),158727,154955
7,MILLIONS,WINNER,99305,95533
8,아낙네,MINO (송민호),140455,136683
9,Love Shot,EXO,120068,116296
10,너를 만나,폴킴,158419,154647
11,YES or YES,TWICE (트와이스),114977,111205
12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233469,229697
13,너도 그냥 날 놓아주면 돼,윤건,38205,34433
14,내 생에 아름다운,케이윌,89675,85903
15,Tempo,EXO,167452,163680
16,아름답고도 아프구나,비투비,120363,116591
17,해야 (Sunrise),여자친구 (GFRIEND),24134,20362
18,IDOL,방탄소년단,213380,209608
19,흔한 이별,허각,36708,32936
20,첫눈에,헤이즈 (Heize),49636,45864
21,가을 타나 봐,바이브,112298,108526
22,삐삐,아이유,203735,199963
23,%%(응응),Apink (에이핑크),23482,19710
24,고백,양다일,97697,93925
25,이별하러 가는 길,임한별,70405,66633
26,"thank u, next",Ariana Grande,81633,77861
27,Way Back Home,숀 (SHAUN),249432,245660
28,봄바람,Wanna One (워너원),125103,121331
29,열애중,벤,148248,144476
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135970,132198
31,FAKE LOVE,방탄소년단,268773,265001
32,사계 (하루살이),엠씨더맥스,20409,16637
33,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,120234,116462
34,트라우마 (Trauma),EXO,66640,62868
35,Wait,EXO,67483,63711
36,Gravity,EXO,95777,92005
37,봄날,방탄소년단,377505,373733
38,닿은 순간 (Ooh La La La),EXO,93141,89369
39,이 마음,펀치 (Punch),3772,0
40,습관 (Bad Habits),숀 (SHAUN),17384,13612
41,너 없인 안 된다,비투비,150173,146401
42,24/7,EXO,91782,88010
43,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,21198,17426
44,알았다면,장덕철,20599,16827
45,I`m Fine,방탄소년단,157195,153423
46,지나오다,닐로 (Nilo),192050,188278
47,Sign,EXO,90010,86238
48,그리워하다,비투비,218860,215088
49,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79039,75267
50,여기 있을게 (Smile On My Face),EXO,87023,83251
계,,,5636589,5447989
랭킹,제목,가수명,좋아요,좋아요 차이
51,DNA,방탄소년단,334807,325999
52,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202840,194032
53,Damage,EXO,83571,74763
54,너는 어땠을까,노을,37257,28449
55,가끔 (With You),EXO,84765,75957
56,We all lie,하진,35979,27171
57,후폭풍 (Bad Dream),EXO,83494,74686
58,Bohemian Rhapsody (2011 Remaster),Queen,88369,79561
59,오아시스 (Oasis),EXO,86557,77749
60,Universe,EXO,185723,176915
61,Euphoria,방탄소년단,150841,142033
62,우리 그만하자,로이킴,121626,112818
63,Answer : Love Myself,방탄소년단,130690,121882
64,사이렌 (Siren),선미,110031,101223
65,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8808,0
66,헤어지는 중,펀치 (Punch),98106,89298
67,행복,오반,43030,34222
68,그 남자를 떠나,god,13855,5047
69,에너제틱 (Energetic),Wanna One (워너원),286621,277813
70,미안해,양다일,142110,133302
71,밤편지,아이유,303861,295053
72,이별길 (GOODBYE ROAD),iKON,84282,75474
73,Dance The Night Away,TWICE (트와이스),138598,129790
74,시간이 들겠지 (Feat. Colde),로꼬,96483,87675
75,동화 (feat. 아이유),김동률,54964,46156
76,IndiGO,저스디스 (JUSTHIS),89485,80677
77,flex (Prod. By 기리보이),기리보이,106760,97952
78,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191517,182709
79,비,폴킴,183120,174312
80,Wind flower,마마무(Mamamoo),48916,40108
81,Beautiful,Wanna One (워너원),235127,226319
82,그때가 좋았어,케이시 (Kassy),14982,6174
83,가을 안부,먼데이 키즈 (Monday Kiz),126102,117294
84,사랑을 했다 (LOVE SCENARIO),iKON,278974,270166
85,Epiphany,방탄소년단,119603,110795
86,YA,이민혁 (HUTA),15570,6762
87,BOOMERANG (부메랑),Wanna One (워너원),144070,135262
88,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74414,65606
89,꿈처럼 내린,다비치,37758,28950
90,켜줘 (Light),Wanna One (워너원),133361,124553
91,All Night (전화해),아스트로 (ASTRO),10729,1921
92,그때 헤어지면 돼,로이킴,191518,182710
93,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81367,72559
94,I`M OK,iKON,23642,14834
95,Anpanman,방탄소년단,149007,140199
96,불꽃놀이 (Flowerbomb),Wanna One (워너원),72372,63564
97,술래,Wanna One (워너원),69515,60707
98,Trivia 轉 : Seesaw,방탄소년단,114053,105245
99,집,Wanna One (워너원),71815,63007
100,묻고싶다 (One Love),Wanna One (워너원),66931,58123
계,,,5657976,5217576
